screen,control,expected_behavior,actual_result,status,severity,exact_fix_location,evidence_source,app,role,locale,layout,viewport,control_type
App,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => openPage(item.id),unproven,P3,apps/wathefni-dashboard/src/App.tsx:2224,static-control,dashboard,,,,,button
App,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setMobileMoreOpen((open) => !open),unproven,P3,apps/wathefni-dashboard/src/App.tsx:2239,static-control,dashboard,,,,,button
App,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => {
                                setMobileMoreOpen(false)
                                openPage(item.id)
                              }",unproven,P3,apps/wathefni-dashboard/src/App.tsx:2264,static-control,dashboard,,,,,button
App,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => openPage(item.id),unproven,P3,apps/wathefni-dashboard/src/App.tsx:2322,static-control,dashboard,,,,,button
App,recruitingLocale === 'ar' ? 'إخفاء' : 'Dismiss',Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setNotice(''),unproven,P3,apps/wathefni-dashboard/src/App.tsx:2471,static-control,dashboard,,,,,button
App,recruitingLocale === 'ar' ? 'تحديث' : 'Refresh',Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => refreshEverything(),unproven,P3,apps/wathefni-dashboard/src/App.tsx:2484,static-control,dashboard,,,,,Button
App,Dismiss,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setNotice(''),unproven,P3,apps/wathefni-dashboard/src/App.tsx:2513,static-control,dashboard,,,,,button
App,(dynamic/unnamed),Visible control has a real handler or valid route.,Static binding: setSelectedJob,unproven,P3,apps/wathefni-dashboard/src/App.tsx:2638,static-control,dashboard,,,,,LazyJobsPage
App,(dynamic/unnamed),Visible control has a real handler or valid route.,Static binding: openCandidateProfile,unproven,P3,apps/wathefni-dashboard/src/App.tsx:2679,static-control,dashboard,,,,,LazyCandidatesPage
App,(dynamic/unnamed),Visible control has a real handler or valid route.,"Static binding: (application, opts) =>
                      openCandidateByKey(application.app_key, {
                        returnPage: 'ranking',
                        returnFocusEl: opts?.returnFocusEl,
                      })",unproven,P3,apps/wathefni-dashboard/src/App.tsx:3082,static-control,dashboard,,,,,LazyRankingPage
components/ActivityLog,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => void exportCsv(),unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:384,static-control,dashboard,,,,,Button
components/ActivityLog,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setFilters((f) => ({ ...f, start_date: e.target.value }))",unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:393,static-control,dashboard,,,,,Input
components/ActivityLog,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setFilters((f) => ({ ...f, end_date: e.target.value }))",unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:397,static-control,dashboard,,,,,Input
components/ActivityLog,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setFilters((f) => ({ ...f, actor: e.target.value }))",unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:401,static-control,dashboard,,,,,Select
components/ActivityLog,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setFilters((f) => ({ ...f, category: e.target.value }))",unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:412,static-control,dashboard,,,,,Select
components/ActivityLog,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setFilters((f) => ({ ...f, action_type: e.target.value }))",unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:423,static-control,dashboard,,,,,Select
components/ActivityLog,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setFilters((f) => ({ ...f, status: e.target.value }))",unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:434,static-control,dashboard,,,,,Select
components/ActivityLog,isAr ? 'ابحث في النشاط…' : 'Find an activity…',Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setFilters((f) => ({ ...f, q: e.target.value }))",unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:449,static-control,dashboard,,,,,Input
components/ActivityLog,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setFilters(EMPTY_FILTERS),unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:468,static-control,dashboard,,,,,button
components/ActivityLog,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setExpandedId(expanded ? null : item.id),unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:562,static-control,dashboard,,,,,Button
components/ActivityLog,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => void load(offset + PAGE_SIZE, true)",unproven,P3,apps/wathefni-dashboard/src/components/ActivityLog.tsx:610,static-control,dashboard,,,,,Button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: (eventClick) => {
            eventClick.stopPropagation()
            window.open(event.meeting_url, '_blank', 'noopener,noreferrer')
          }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:764,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => changeView(mode),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1435,static-control,dashboard,,,,,button
components/CalendarShell,prev,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => navigate(-1),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1447,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => {
              captureScroll()
              closeSelected()
              setAnchor(startOfDay(new Date()))
            }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1450,static-control,dashboard,,,,,button
components/CalendarShell,next,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => navigate(1),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1461,static-control,dashboard,,,,,button
components/CalendarShell,"isAr ? 'أحداثك التي تملكها أو تنظّمها أو تحضرها' : 'Events you own, organize, or attend'",Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => {
                if (scope === 'mine') return
                closeSelected()
                startTransition(() => {
                  setScope('mine')
                  setMineOnly(false)
                })
              }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1469,static-control,dashboard,,,,,button
components/CalendarShell,isAr ? 'أحداث نطاق فريق التوظيف المرتبط بحسابك' : 'Events shared with your hiring team scope',Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => {
                  if (scope === 'team') return
                  closeSelected()
                  startTransition(() => setScope('team'))
                }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1487,static-control,dashboard,,,,,button
components/CalendarShell,isAr ? 'أحداث الشركة التي يُسمح لك برؤيتها' : 'Company-wide events you are allowed to see',Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => {
                  if (scope === 'company') return
                  closeSelected()
                  startTransition(() => setScope('company'))
                }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1503,static-control,dashboard,,,,,button
components/CalendarShell,isAr ? 'النوع' : 'Type',Update controlled value/filter and refresh dependent state.,"Static binding: (e) => {
              closeSelected()
              const next = e.target.value
              startTransition(() => setTypeFilter(next))
            }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1520,static-control,dashboard,,,,,select
components/CalendarShell,isAr ? 'الحالة' : 'Status',Update controlled value/filter and refresh dependent state.,"Static binding: (e) => {
              closeSelected()
              const next = e.target.value
              startTransition(() => setStatusFilter(next))
            }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1535,static-control,dashboard,,,,,select
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => {
                  closeSelected()
                  const next = e.target.checked
                  startTransition(() => setMineOnly(next))
                }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1557,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => openCreate(),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1584,static-control,dashboard,,,,,Button
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => {
            closeSelected()
            const next = e.target.value
            startTransition(() => setOrgScopeId(next))
          }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1601,static-control,dashboard,,,,,select
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => openCreate(day),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1654,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => selectEvent(event),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1665,static-control,dashboard,,,,,div
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => selectEvent(event),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1726,static-control,dashboard,,,,,button
components/CalendarShell,"eventPrimaryLabel(event, isAr)",Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => selectEvent(event),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1803,static-control,dashboard,,,,,div
components/CalendarShell,isAr ? `+${overflowCount} المزيد` : `+${overflowCount} more`,Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: (clickEvent) => {
                                  clickEvent.preventDefault()
                                  clickEvent.stopPropagation()
                                  setOverlapMenu({
                                    dayKey,
                                    anchorTop: geometry.top + geometry.height,
                                    events: overflowEvents,
                                  })
                                }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1857,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => selectEvent(event),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1889,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => {
                      captureScroll()
                      closeSelected()
                      setAnchor(startOfDay(day))
                      setView('day')
                    }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1913,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: (e) => {
                            e.stopPropagation()
                            selectEvent(event)
                          }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1935,static-control,dashboard,,,,,div
components/CalendarShell,isAr ? 'إغلاق' : 'Close',Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: (event) => {
                  event.preventDefault()
                  event.stopPropagation()
                  closeSelected()
                }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:1995,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => {
                              void inviteCalendarGuest(access, selected.event_id, String(g.guest_id))
                                .then(() => onNotice?.(isAr ? 'تم وضع الدعوة في قائمة الإرسال' : 'Invite queued', 'success'))
                                .catch((err) => onNotice?.(err instanceof Error ? err.message : 'Invite failed', 'error'))
                            }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2097,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => void resolveRequest(String(req.request_id), 'accepted')",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2122,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => void resolveRequest(String(req.request_id), 'declined')",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2125,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => void submitRsvp(status),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2144,static-control,dashboard,,,,,Button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => openEdit(selected),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2153,static-control,dashboard,,,,,Button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => void cancelSelected(),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2154,static-control,dashboard,,,,,Button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => onOpenInterview(selected.interview_id!),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2158,static-control,dashboard,,,,,Button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => onOpenProjectionOwner(calendarProjectionDeepLink(selected)!),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2161,static-control,dashboard,,,,,Button
components/CalendarShell,isAr ? 'إغلاق' : 'Close',Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: closeComposer,unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2178,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: (event) => event.stopPropagation(),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2185,static-control,dashboard,,,,,aside
components/CalendarShell,isAr ? 'إغلاق' : 'Close',Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: (event) => {
                  event.preventDefault()
                  event.stopPropagation()
                  closeComposer()
                }",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2200,static-control,dashboard,,,,,button
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, event_type: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2217,static-control,dashboard,,,,,select
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, title: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2225,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, start_local: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2230,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, end_local: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2234,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, all_day: e.target.checked })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2238,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, visibility: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2243,static-control,dashboard,,,,,select
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, location: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2252,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, meeting_url: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2256,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (userId) => setDraft({ ...draft, attendee_user_id: userId })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2260,static-control,dashboard,,,,,PeoplePicker
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, guest_email: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2270,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, override_conflicts: e.target.checked })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2286,static-control,dashboard,,,,,input
components/CalendarShell,isAr ? 'سبب التجاوز' : 'Override reason',Update controlled value/filter and refresh dependent state.,"Static binding: (e) => setDraft({ ...draft, override_reason: e.target.value })",unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2294,static-control,dashboard,,,,,input
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => void runPreview(),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2307,static-control,dashboard,,,,,Button
components/CalendarShell,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => void saveDraft(),unproven,P3,apps/wathefni-dashboard/src/components/CalendarShell.tsx:2308,static-control,dashboard,,,,,Button
components/ConfirmDialog,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => (working ? null : onCancel()),unproven,P3,apps/wathefni-dashboard/src/components/ConfirmDialog.tsx:174,static-control,dashboard,,,,,div
components/ConfirmDialog,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: (event) => event.stopPropagation(),unproven,P3,apps/wathefni-dashboard/src/components/ConfirmDialog.tsx:182,static-control,dashboard,,,,,div
components/ConfirmDialog,reasonPlaceholder || '',Update controlled value/filter and refresh dependent state.,Static binding: (event) => setReason(event.target.value),unproven,P3,apps/wathefni-dashboard/src/components/ConfirmDialog.tsx:206,static-control,dashboard,,,,,textarea
components/ConfirmDialog,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: onCancel,unproven,P3,apps/wathefni-dashboard/src/components/ConfirmDialog.tsx:219,static-control,dashboard,,,,,Button
components/ConfirmDialog,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => void handleConfirm(),unproven,P3,apps/wathefni-dashboard/src/components/ConfirmDialog.tsx:222,static-control,dashboard,,,,,Button
components/ImportCenter,Import CVs,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: openModal,unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:279,static-control,dashboard,,,,,Button
components/ImportCenter,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => { if (!uploading) closeModal() },unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:284,static-control,dashboard,,,,,div
components/ImportCenter,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: (event) => event.stopPropagation(),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:285,static-control,dashboard,,,,,div
components/ImportCenter,Close,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: closeModal,unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:299,static-control,dashboard,,,,,button
components/ImportCenter,Download import report,Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: async () => {
                      if (!(await confirm({ title: 'Download import report?', body: 'This report contains candidate data and will download to this device as a file. Continue?', confirmLabel: 'Download' }))) return
                      setError('')
                      try {
                        await downloadImportReport(access, result.batch_id)
                      } catch (err) {
                        console.error('Import report download failed', err)
                   ",unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:348,static-control,dashboard,,,,,button
components/ImportCenter,Import more,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setResult(null),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:366,static-control,dashboard,,,,,Button
components/ImportCenter,Done,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: closeModal,unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:367,static-control,dashboard,,,,,Button
components/ImportCenter,Clear all,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setFiles([]),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:377,static-control,dashboard,,,,,button
